Node_BC,node_cn_0,score_cn_0,node_cn_1,score_cn_1,node_cn_2,score_cn_2
1 achat sur le web,achat,20.889288,achats,19.629185,achate,19.629185
1 mail,mail,14.255846,e mail,14.255846,e mails,14.255846
1 mail avec pièce jointe,pièces jointes,49.98743,pièce jointe,49.98743,pièce à pièce,37.54
1 requête de navigation web,navigation,45.191742,requête,44.907303,requêtes,44.907303
1 requête internet,inter requête,50.267258,inter requêtes,50.267258,requêter,46.231037
1 SPAM,spam,21.172659,spams,19.813473,anti spam,18.618267
1 transaction logiciel classique,transaction,41.43801,transactions,39.602642,sous transaction,37.92296
1 tweet,tweet,35.903378,tweeta,33.73758,tweete,33.73758
Abricot,abricot,33.23729,abricota,31.44817,abricote,31.44817
Acide chlorhydrique,acide chlorhydrique,68.19141,chlorhydrique,61.092514,chlorhydriques,58.501373
"Acide citrique, monohydrate",monohydrate,55.133232,monohydraté,49.89141,monohydrique,49.05582
"Acide D,L tartrique",acide tartrique,47.895,acides tartriques,45.773636,acide pyrotartrique,40.40481
Acide nitrique 50%,acide nitrique,44.163815,acide nitrique pur,42.11706,acide citrique,38.163418
Acide phosphorique,acide phosphorique,62.625656,acides phosphoriques,60.317448,acide pyrophosphorique,54.32267
Acide sorbique,acide sorbique,49.95351,acide ascorbique,39.656487,acide l ascorbique,39.656487
Acide sulfurique,acide sulfurique,56.852444,acides sulfuriques,54.441135,acide disulfurique,52.22605
Acier ou fer blanc,fer blanc,25.45305,fers blancs,22.712845,arc en ciel blanc,22.67014
Adhésif Epoxy,adhésif,41.53273,adhésifs,39.297077,auto adhésif,37.289814
Adoucisseur d'eau,adoucisseur d’ eau,49.005447,adoucisseur d eau,49.005447,adoucisseurs d’ eau,46.92696
Agglomérés de houille,agglomérés,52.330444,aggloméré,49.153103,auto agglomérés,47.69481
Agneau,agneaux,30.423246,agneau,30.423246,agneaux de lait,28.69244
Aimant,aimant,26.677029,re aimant,26.677029,aimanta,25.159348
Alcool,alcool,36.497875,alcools,34.42148,alcoolé,34.42148
Alimentation,alimentation,39.727222,alimentations,38.042255,suralimentation,36.494404
Aluminium,l’ aluminium,47.016823,aluminium,47.016823,éka aluminium,44.731953
Amandes,amandes,25.474672,amande,25.474672,amande de mer,24.025394
Ammoniaque anhydre,anhydre,43.656784,ammoniaque,42.636375,anhydres,41.306797
Ammonitrate,nitrate d ammonium,40.58342,nitrate de cérium et d ammonium,34.47548,nitrates,30.8088
Ananas,ananas,28.810484,bananas,27.503908,jus d’ ananas,27.503908
Anis - Badiane,badiane,35.18628,badianes,33.292248,badianier,30.156979
Anthracite,anthracite,46.526768,anthracites,46.526768,anthraciteux,44.370502
Appareil photo,appareils photo,47.243034,appareil photo,47.243034,appareil photo numérique,36.57768
Aquarium,aquarium,40.85231,aquariums,38.765614,arium,26.238556
Arboriculture / viticulture,arboriculture,85.07859,viticulture,82.574974,arboricultures,81.61694
Arbuste en conteneur,arbustes,36.95398,arbuste,36.95398,conteneur,33.922993
Armoire,armoire,28.162329,armoires,26.560146,lit armoire,26.560146
Artichauts,artichauts,42.894924,artichaut,36.551384,artichauts du canada,35.913742
Ascenseur,ascenseur,42.739784,ascenseurs,40.662766,cage d’ ascenseur,38.778267
Asperges,asperges,38.637726,asperges des bois,34.88238,auto asperges,34.88238
Aspirateur,aspirateur,45.34474,aspirateurs,43.243256,aspirateur de site web,39.57507
Aspirateur ménager,aspirateur,45.34474,aspirateurs,43.243256,aspirateur de site web,39.57507
Aspirateur professionnel,professionnel,47.630825,non professionnel,45.692837,professionnels,45.692837
Aubergine,aubergine,44.276646,aubergines,42.12494,auberginisa,36.220478
Autobus,autobus,34.17756,autobut,26.180752,autobus scolaire,25.480042
Autres acides et sels d'acides,acide,46.843204,acides,46.843204,acide 1,46.843204
Autres cultures industrielles (y compris pommes de terre et betteraves),betteravicultures,50.83972,industrielle,48.617813,industrielles,48.617813
Autres produits pétroliers,produits,43.32403,co produits,43.32403,auto produits,42.481335
Avion (marchandises),marchandise,40.628105,marchandises,40.628105,dé marchandise,40.628105
Avion (voyageurs),voyageurs,47.8032,voyageur,44.37141,commis voyageurs,39.693214
Avocat,avocat,32.035515,avocate,30.212982,avocates,30.212982
Baba au rhum,baba au rhum,35.76751,rhum,21.376808,rhume,20.00452
Baies de disques,baies de disques,38.707153,baie de disques,34.882385,disques,28.990713
Baladeurs numériques,baladeurs,42.955307,numériques,42.307865,pré numériques,40.25184
Ballon,ballon,24.66631,ballon à gaz,23.26302,jeu de ballon,23.26302
Banana Split,banana split,46.831127,banana splits,44.784885,banana,30.367687
Banane,banane,27.678995,bananes,26.10431,bananez,26.10431
Banol,urbanologie,16.848507,albanologie,16.848507,albanologies,16.102253
Bar ou dorade,dorade,29.230373,dorades,29.230373,dorade rose,26.08351
Bar ou Dorade,dorade,29.230373,dorades,29.230373,dorade rose,26.08351
Barre de son,barre,21.363197,la barre,21.363197,barrer,20.074505
"Basket, panier extérieur avec socle en béton",extérieur,41.923443,à l extérieur,41.923443,à l extérieur de,41.923443
"Basket, panier intérieur fixe avec socle en béton",basket,41.008995,baskets,38.675953,basketteur,37.663055
Bateau automoteur,bateau à moteur,46.208393,automoteur,40.578667,automoteurs,38.698067
Bateau pousseur,bateau pousseur,48.644337,bateaux pousseurs,46.581165,pousseur,32.13027
Bâtiment agricole,agricoles,37.05645,agricole,37.05645,bâtiment,36.93137
Bâtiment industriel,bâtiment industriel monovalent,48.830666,bâtiment industriel polyvalent,47.431526,industriel,45.13686
Bâtiments de bureaux ,bâtiments,41.034454,bâtiment,36.93137,bâtimens,34.52387
"Bentonite, kaolin",kaolinite,42.74521,kaolinites,42.74521,kaolin,37.018085
Béton,béton,19.404545,bétons,18.158867,néo béton,18.158867
Béton armé,béton armé,33.507225,béton,19.404545,armé,18.699806
Béton armé continu,béton armé,33.507225,continu,25.160793,en continu,25.160793
Béton de ciment,ciment,24.931816,cimenta,23.51342,cimente,23.51342
Betterave,betterave,36.5336,betteraves,34.75818,betterave rouge,31.679165
Betterave sucrière,betterave sucrière,58.841217,sucre de betterave,45.90856,betterave à sucre,45.90856
Beurre,beurre,29.42316,le beurre,29.42316,le beurre et l argent du beurre,28.480392
Beurre doux,beurres doux,39.354076,doubeurre,31.153494,doubeurres,29.639532
Bière,bière,25.049814,bières,23.538736,sac à bière,23.538736
Biodiesel,biodiesel,46.845787,biodiesels,44.56923,diesel,30.211987
Bioéthanol,bioéthanol,56.142754,bioéthanols,53.54084,agroéthanol,37.730152
BioGNL,gnl,20.802282,gnls,19.375265,biogaz,17.573868
Biométhane,biométhane,51.22581,biométhanes,48.851772,biométhanisa,41.360413
Biopropane,propane,32.875256,cyclopropane,31.802464,propanes,31.105625
Biscuit,biscuit,37.14669,biscuita,35.147133,biscuite,35.147133
Bisulfite de potassium,sulfite de potassium,60.8228,métabisulfite de potassium,58.65495,bisulfite,51.807472
Bitumes,bitume,31.964233,bitumes,31.964233,il bitume,31.964233
Blanc de dinde,dindes,22.332787,dinde,22.332787,boudin blanc,21.853977
Blanc de poulet,blanc de poulet,37.99141,blancs de poulet,36.145145,mon poulet,26.429243
Blanquette de veau,blanquette,40.3858,blanquettes,40.3858,planquette,34.428978
Blé,blé,11.434153,blés,10.64978,blé dur,10.64978
Blé dur,blé dur,20.223282,blé,11.434153,blés,10.64978
Blé tendre,blé tendre,34.304188,blés tendres,30.799728,tendre,27.008583
Blé tendre biologique de féverole (cas type),type sérologique,42.908474,biologique,42.23424,féverole,41.184193
Blé tendre biologique de luzerne (cas type),luzerne,42.399437,la luzerne,42.399437,biologique,42.23424
Blé tendre conventionnel,conventionnel,42.785778,non conventionnel,41.044926,conventionnels,41.044926
Boeuf bourguignon,boeuf bourguignon,64.257164,bourguignon,48.340603,bourguignons,46.1995
Bois bûche,bûche,29.066822,bûcher,27.313427,bûches,27.313427
Bois bûches,bûches,35.23388,bûches de noël,31.440695,embûches,31.440695
Bois bûche_,bûche,29.066822,bûcher,27.313427,bûches,27.313427
Bois courte durée de vie (ameublement...),ameublement,47.467556,ameublemens,45.39478,ameublements,45.365124
Bois d'oeuvre (construction),construction,44.746048,constructions,43.727436,jeu de construction,42.848213
Bois granulé,granulé,35.49339,granulés,33.582825,granulée,33.582825
Bois granulés,granulés,40.50496,regranulés,36.56813,granulé,35.49339
Bois plaquette,plaquette,36.559998,plaquettes,36.559998,déplaquette,33.006596
Bol de céréales,céréale,33.843887,céréales,33.843887,céréal,29.553719
Bol de lait,abolai,13.401132,abolait,13.401132,abolais,12.638727
"Bouchon LA2R vin effervescent - 9,5 g",vin effervescent,55.606976,effervescent,52.318047,effervescente,50.09906
"Bouchon liège aggloméré vin tranquille - 5,5 g",aggloméré,49.153103,agglomérés,46.764416,agglomérée,46.764416
"Bouchon liège naturel vin tranquille- 3,5 g",tranquille,34.67274,tranquilles,34.67274,naturelle,32.669876
"Bouchon liège technique vin effervescent - 9,5 g",vin effervescent,55.606976,effervescent,52.318047,effervescente,50.09906
Bouchon liège technique vin tranquille - 5 g,technique,42.48926,ko technique,42.48926,techniques,40.318947
Bouchon synthétique PE co-extrudé - 6 g,synthétique,49.134007,synthétiques,46.85691,biosynthétique,42.882187
Bouteille de bière,bouteille de bière,48.726982,bouteillière,36.756687,bouteille,36.262054
Bovin viande,viande bovine,44.40152,bovin,28.785156,viande,28.066475
Box et modems Internet,modems,36.988342,internet,32.676064,interneta,31.007
Brandade de morue,brandade,39.197887,brandades,39.197887,morue,27.498335
Brebis allaitante de réforme,réforme protestante,35.713867,réforme,35.017353,réformes,35.017353
Brebis de réforme,réforme,35.017353,réformes,35.017353,préforme,33.132416
Briquette de lignite,briquette,33.944386,briquettes,33.944386,lignite,32.663265
Brocoli,brocoli,31.920094,brocolis,30.201878,brocoli rave,28.659193
Brownie,brownie,46.09798,brownies,43.616585,brownien,43.616585
Broyats de cagettes et de pallettes,cagette,45.328197,cagettes,45.328197,broyats,41.50503
Broyats de cagettes et de pallettes_,cagette,45.328197,cagettes,45.328197,broyats,41.50503
Bureau 1600x800,bureau,29.90305,bureaux,29.90305,parc de bureaux,28.201836
Bus,bb bus,10.352711,b.b bus,10.352711,bus,10.352711
Butane,n butane,29.123812,butane,29.123812,i butane,29.123812
Câble électrique externe,câble électrique,54.76199,choc électrique externe,52.229244,bleu électrique,41.47709
Câble électrique interne,câble électrique,54.76199,bleu électrique,41.47709,choc électrique externe,41.062508
Cacao,cacao,28.78526,cacaos,27.048847,cacaoté,25.510014
Cadran photo,cadran,28.786419,cadrans,27.148731,cadrant,27.148731
Cadre de lit,cadre,25.242252,cadrer,23.719564,cadres,23.719564
Café,café,22.8904,café pmu,21.420944,cafés,21.420944
Café du Brésil (Robusta),caféier robusta,44.28483,robusta,37.898254,robuste,31.957407
Cafetière & machines à expresso,cafetières,51.1126,cafetière,49.765785,machines à café,38.982914
Caisse bois,boisse,21.111134,la boisse,21.111134,boissy aux cailles,20.322914
Camion porteur,porteur,31.630396,porteurs,29.927773,bon au porteur,29.927773
Camion remorque,camion de remorquage,43.397213,remorque,35.32106,co remorque,35.32106
Canalisations PVC,canalisations,39.446003,canalisation,38.997047,banalisations,34.879135
Canapé,canapé,31.872417,canapés,30.059166,canapé lit,30.059166
Canard à rôtir,rôtir,33.642525,se rôtir,33.642525,rôtira,31.613108
Cannelé,cannelé,32.812798,cannelée,31.046528,cannelés,31.046528
Cannelle,cannelle,32.277573,cannelles,32.277573,en cannelle,32.277573
"Capsule à vis (aluminium + joint PE / étain) moyenne - 4,8 g",l’ aluminium,47.016823,aluminium,47.016823,éka aluminium,44.731953
"Capsule à vis (aluminium 35% recyclage + joint PE / étain) - 4,8 g",l’ aluminium,47.016823,aluminium,47.016823,recyclage,46.163853
"Capsule à vis (aluminium 75% recyclage + joint PE / étain) - 4,8 g",l’ aluminium,47.016823,aluminium,47.016823,recyclage,46.163853
"Capsule surbouchage composite (aluminium 35% recyclage) vin effervescent - 3,2 g",vin effervescent,55.606976,effervescent,52.318047,recyclage,51.15428
Capsule surbouchage composite (aluminium 35% recyclé / PEBD) vin tranquille - 1 g,l’ aluminium,47.016823,aluminium,47.016823,feuille d aluminium,46.98935
"Capsule surbouchage composite (aluminium 70% recyclage) vin effervescent - 3,2 g",vin effervescent,55.606976,effervescent,52.318047,recyclage,51.15428
Capsule surbouchage composite (aluminium 70% recyclé / PEBD) vin tranquille - 1 g,l’ aluminium,47.016823,aluminium,47.016823,feuille d aluminium,46.98935
Capsule surbouchage étain (FE étain),surbouchage,43.681755,capsule,38.822727,capsules,38.822727
"Capsule surbouchage PVC extrudé vin tranquille - 0,80 g",surbouchage,43.681755,extrudé,41.11792,co extrudé,41.11792
Carbonate de calcium,carbonate de calcium,63.204105,carbonates de calcium,63.204105,bicarbonate de calcium,58.44789
Carbureacteur,carburéacteur,41.848038,carburéacteurs,40.145336,carbure,35.854565
Cargo,cargo,22.642323,riz cargo,21.27647,cargos,21.27647
Carotte,carotte,30.43799,carottes,30.43799,carotter,28.799553
Carton,carton,21.2477,en carton,21.2477,cartons,19.965975
Cartouche jet d'encre Noir et Blanc  re-conditionnée,conditionnée,43.035435,conditionnées,41.210155,conditionné,39.685196
Cartouche toner couleur (CMY) re-conditionnée,conditionnée,43.035435,conditionnées,41.210155,conditionné,39.685196
Cartouche toner Noir et Blanc re-conditionnée,conditionnée,43.035435,conditionnées,41.210155,conditionné,39.685196
Cassoulet,cassoulet,35.45594,cassoulets,33.732895,dessoule,23.461206
Céleri,céleri,25.55843,célerin,24.104387,céleris,24.104387
Centre de loisir,centre de loisirs,35.144733,centres de loisirs,33.588104,à loisir,26.057312
Céréales,céréale,33.843887,céréales,33.843887,céréal,29.553719
Céréales oléoprotéagineux,oléoprotéagineux,67.92414,oléoprotéagineuse,65.36843,oléoprotéagineuses,65.36843
Cerise,cerise,18.794765,cerises,18.794765,cerisey,17.725512
Chaîne HiFi,chaîne,33.833725,pas de chaîne,33.833725,chaîne hi fi,33.833725
Chaise,chaise,19.411674,chaises,19.411674,la chaise,19.411674
Champignons de Paris,champignons de paris,48.20169,champignon de paris,48.14054,champignons,44.835575
Changement d'affectation des sols direct (culture vers forêt),affectation,49.038517,affectations,46.866505,réaffectation,44.87874
Changement d'affectation des sols direct (culture vers imperméabilisés),imperméabilisés,58.97502,imperméabilisé,56.55872,réimperméabilisés,54.697983
Changement d'affectation des sols direct (culture vers prairie),affectation,49.038517,affectations,46.866505,affectataire,45.819954
Changement d'affectation des sols direct (culture vers sols non imperméabilisés),imperméabilisés,58.97502,imperméabilisé,56.55872,réimperméabilisés,54.697983
Changement d'affectation des sols direct (forêt vers culture),affectation,49.038517,affectations,46.866505,réaffectation,44.87874
Changement d'affectation des sols direct (forêt vers imperméabilisés),imperméabilisés,58.97502,imperméabilisé,56.55872,réimperméabilisés,54.697983
Changement d'affectation des sols direct (forêt vers prairie),affectation,49.038517,affectations,46.866505,affectataire,45.819954
Changement d'affectation des sols direct (forêt vers sols non imperméabilisés),imperméabilisés,58.97502,imperméabilisé,56.55872,réimperméabilisés,54.697983
Changement d'affectation des sols direct (prairie vers culture),affectation,49.038517,affectations,46.866505,affectataire,45.819954
Changement d'affectation des sols direct (prairie vers forêt),affectation,49.038517,affectations,46.866505,affectataire,45.819954
Changement d'affectation des sols direct (prairie vers imperméabilisés),imperméabilisés,58.97502,imperméabilisé,56.55872,réimperméabilisés,54.697983
Changement d'affectation des sols direct (prairie vers sols non imperméabilisés),imperméabilisés,58.97502,imperméabilisé,56.55872,réimperméabilisés,54.697983
Charbon à coke,charbon,31.609514,charbon d’ os,31.609514,charbons,29.908016
Charbon à vapeur,vapeur,32.282204,charbon,31.609514,charbon d’ os,31.609514
Charbon sous-bitumineux,bitumineux,43.43123,bitumineuse,41.32061,bitumineuses,41.32061
Chargement annuel de poids lourds,poids lourds,49.040314,poids mi lourds,49.040314,poids lourd,43.376793
Chaussures,chaussures,38.02624,sur chaussures,38.02624,chaussure,35.90251
Chaux,chaux,14.027993,la chaux,14.027993,chaud,13.127462
Cheese cake,cheese cake,53.607273,cheese cakes,50.86906,cheesecake,48.396984
Chemise,chemise,29.478487,chemises,29.478487,chemiser,27.891697
Chèvre de réforme,chèvre,37.63769,chèvres,35.496445,chèvre de feu,35.496445
Chevreau,chevreau,41.132687,chevreaux,41.132687,levreau,30.843855
Chili con carne,chili con carne,38.312294,chilis con carne,36.45044,carne,22.36021
Chips,chips,27.529327,tchips,25.868675,chipset,24.396984
Chlorure de potassium,chlorure de potassium,62.27692,chlorure de césium,51.019855,chlorate de potassium,46.39436
Chocolat,chocolat,38.40165,pas de chocolat,38.40165,chocolata,36.44013
Chou pommé,pommé,26.516464,pommée,24.916912,pommés,24.916912
Chou-Fleur,chou fleur,31.91072,choux fleurs,28.650776,chou fleuriste,25.995157
Choucroute,choucroute,44.540802,choucroutes,44.540802,choucrouter,42.476578
Ciment Portland,ciment portland,53.79507,ciments portland,51.51344,portland,43.13021
Circuits imprimés,circuit imprimé,58.080708,circuit imprimé nu,58.080708,circuits,44.901627
Citron,citron,24.798403,citrons,23.387598,jus de citron,23.387598
Citrouille - Courges -Potiron,citrouille,37.58968,citrouilles,37.58968,tarte à la citrouille,32.806763
Clafoutis aux cerises,clafoutis,42.35102,clafoutiez,36.22939,clafoutions,34.550354
Clémentine (Nour),clémentine,40.600487,clémentines,38.718876,clémentin,38.318375
"Climatisation à air,   type armoire'",climatisation,47.929333,climatisations,46.09524,climatisa,40.6728
"Climatisation à air,  type 'DRV'",climatisation,47.929333,climatisations,46.09524,climatisa,40.6728
"Climatisation à air,  type 'rooftop'",climatisation,47.929333,climatisations,46.09524,rooftopper,44.141937
"Climatisation à air,  type 'split'",climatisation,47.929333,climatisations,46.09524,climatisa,40.6728
"Climatisation à air,  type 'splits et multisplits'",splitsa,62.50588,splitse,62.50588,splitses,62.50588
"Climatisation à air,  type 'window'",climatisation,47.929333,climatisations,46.09524,climatisa,40.6728
"Climatisation à air,  type armoire'",climatisation,47.929333,climatisations,46.09524,climatisa,40.6728
"Climatisation à air, moyenne tous équipements confondus",climatisation,47.929333,équipements,47.283478,climatisations,46.09524
"Climatisation à air, type 'DRV'",climatisation,47.929333,climatisations,46.09524,climatisa,40.6728
"Climatisation à air, type 'mobile'",climatisation,47.929333,climatisations,46.09524,climatisa,40.6728
"Climatisation à air, type multisplits'",climatisation,51.475796,climatisations,49.497406,climatisa,44.943863
"Climatisation à eau glacée, chillers à compresseur centrifuge moyenne",climatisation,47.929333,climatisations,46.09524,climatiseur,44.31281
"Climatisation à eau glacée, chillers à compresseur volumétrique",volumétrique,49.662666,climatisation,47.929333,volumétriques,47.46301
Climatisation automobile,climatisation,47.929333,climatisations,46.09524,automobile,43.925457
Climatiseur,climatiseur,43.007557,climatiseurs,41.10267,climatise,35.738487
Coke de houille,coke en aiguilles,29.220692,houille,25.804108,houilles,25.804108
Coke de lignite,lignite,32.663265,lignites,32.663265,pyrolignite,26.608196
Coke de pétrole,pétrole,32.657253,pétroles,32.657253,pétroler,30.899355
coke de pétrole,pétrole,32.657253,pétroles,32.657253,pétroler,30.899355
Colle amidon,amidon,31.546629,amidons,29.75191,amidone,29.75191
Colza,colza,34.025627,colzas,31.973099,colzate,30.154118
Combustible haute viscosité (CHV),combustible,51.806087,combustibles,51.806087,combustible mox,49.51149
Commerce,commerce,35.913376,commerces,35.913376,e commerce,35.913376
Complexe de doublage d'isol. Therm.,complexe,40.056335,cw complexe,40.056335,doublage,39.117012
Concombre,concombre,38.351482,concombre de mer,36.48772,concombres,36.48772
Concombres,concombres,40.252995,concombres de mer,38.387486,concombre,38.351482
Congélateur,congélateur,49.237175,congélateurs,47.05636,congélatif,36.01321
Console vidéo,console de jeux vidéo,42.808064,vidéo,28.064941,vidéo cd,28.064941
Consommables bureautiques,consommable,47.371777,consommables,47.371777,bureautiques,45.184967
Coquilette au jambon,coquillette,31.965456,coquillettes,31.965456,jambon,31.24509
Côte de boeuf,boeuf,34.422195,boeufs,32.345745,qui vole un oeuf vole un boeuf,31.043571
Côtelettes d'Agneau,côtelette,46.60769,côtelettes,46.60769,pisser sa côtelette,38.70053
Courgette,courgette,39.957993,courgettes,39.957993,le bourget,28.144142
Couscous,couscous,40.792946,couscou,39.457024,couscoussier,34.986015
Crème,crème de la crème,35.53583,crème,32.2252,crèmes,32.2252
Crème brûlée,crème brûlée,60.651073,crèmes brûlées,57.70362,brûlée,41.345726
Crêpes,crêpes,41.16343,décrêpes,36.731884,encrêpes,36.731884
Crêpes - galette au sarasin,crêpes,41.16343,crêpes suzette,40.58293,décrêpes,36.731884
Crevette aquaculture Madagascar,aquaculture,52.53766,madagascar,52.00486,aquacultures,50.210663
Crevette pêche Madagascar,madagascar,52.00486,zébu de madagascar,47.398064,pois de madagascar,47.398064
Crevettes,crevette,38.71738,crevettes,38.71738,arbre aux crevettes,33.33435
Cuisse de dinde,cuisse,23.397257,cuisses,23.397257,mi cuisses,23.397257
Cuisse de poulet,cuisse de poulet du poitou,33.607903,mon poulet,26.429243,poulet,26.429243
Cuivre,cuivre,33.886955,cuivrer,31.959095,cuivreux,31.959095
Curry au poulet avec riz,curry,28.368439,se coucher avec les poules,27.003801,currys,26.657171
DAS - Déchets d'Activités de Soins,activités,41.889496,non activités,39.853798,inactivités,38.006786
Décarbonatation,carbonatation,49.353455,décarbonata,47.10558,décarbonations,45.90531
